source_id,research_question,mechanism,method,main_findings,mathematics,limitations,implementation_details,supports,weakens,math_relevance,verification,review_status,evidence_confidence
hariri-2026-test-time-scaling-survey,"What inference-time scaling regimes exist, and how reproducible are their reported gains?","Repeated sampling, verification, search, adaptive allocation, and refinement under an inference budget.","Survey organizes test-time scaling methods, metrics, and reproducibility threats across reasoning tasks.","Scaling inference can improve coverage but benefits depend on selection quality and task difficulty. || Comparisons frequently confound generator, verifier, budget, and stopping policy.",Unifies compute allocation and best-of-N style objectives; mathematical claims belong to the underlying cited papers.,A new preprint survey; breadth exceeds the depth of independent reproduction.,Record the complete generator-search-verifier-stopping tuple and actual token or wall-clock cost.,Test-time compute is a harness-controlled resource-allocation problem.,The slogan that more samples monotonically improve deployable accuracy.,"Motivates optimal-stopping, selection-error, and cost-constrained formulations.","Abstract, regime taxonomy, reproducibility discussion, and conclusion checked in the local PDF.",skimmed,medium
xu-2026-polar,How can arbitrary existing harnesses produce token-faithful trajectories for asynchronous reinforcement learning?,"A black-box API proxy records model interactions, reconstructs training trajectories, prewarms runtimes, evaluates rollouts, and decouples trainers from harnesses.",Systems implementation validated by training agents across existing harnesses under asynchronous RL workloads.,Polar makes the harness an interchangeable black box while retaining token-level learning signals. || Decoupled rollout services improve utilization for long-running heterogeneous executions in the reported experiments.,Formalizes reconstruction from intercepted calls into trajectories consumed by an independent trainer; optimization guarantees depend on the downstream RL algorithm.,"Training-infrastructure paper, benchmark and hardware dependence, and no claim that every hidden harness state is observable through API calls.","Separate rollout execution, trajectory reconstruction, evaluation, and training services; version the adapter and preserve token fidelity.",Harness portability requires an explicit observation boundary and faithful trace reconstruction.,API compatibility as sufficient for semantic equivalence between harnesses.,Connects harness traces to off-policy data and asynchronous queueing/resource-allocation models.,"Abstract, system architecture, trajectory reconstruction, validation experiments, and limitations checked in the local PDF.",skimmed,medium
yao-2023-react,Does interleaving language reasoning with environment actions improve knowledge and interactive tasks?,"A policy chooses both thought actions, which alter context only, and grounded actions, which change or observe the environment.","Prompted PaLM and GPT-family models on HotpotQA, FEVER, ALFWorld, and WebShop, with baselines, hybrids, and 200 manually labeled trajectories.","ReAct scores 27.4 HotpotQA EM and 60.9 FEVER accuracy, while CoT scores 29.4 and 56.3; hybrids reach 34.2-35.1 and 62.0-64.6. || ReAct is therefore not uniformly superior; 47% of labeled failures are reasoning errors and 23% failed searches.",The policy is π(a_t|c_t) over an augmented action space containing environment actions and language thoughts.,"Prompt and tool affordances are hand-designed, models are dated, tasks are small, and hybrids receive different information paths.","Serialize thoughts, actions, and observations distinctly and make action parsing, error handling, and stopping explicit.",Interleaved tool feedback can reduce hallucination and support adaptive plans.,The meme that ReAct universally beats chain-of-thought.,Supplies the canonical controlled-process equation for an agent loop.,"Table 1, Table 2, augmented action-space definition, trajectory analysis, and conclusions checked in the local PDF.",fully-reviewed,high
karpas-2022-mrkl,"Can a language model route requests to symbolic, retrieval, and domain-specific expert modules?","A neural router delegates subtasks to discrete calculators, databases, knowledge bases, and specialized models before composing an answer.",Architecture and Jurassic-X implementation examples illustrate modular neuro-symbolic routing and discuss training and integration challenges.,MRKL reframes a large language model as one component in a modular system rather than the sole knowledge or reasoning engine. || It offers strong architectural motivation but limited controlled causal evidence.,A router can be modeled as a latent expert-selection variable in a mixture-of-experts system; no new general performance theorem is proved.,"Predominantly a position and architecture paper, proprietary implementation details, and few reproducible head-to-head experiments.","Give tools narrow contracts, expose routing failures, and separate deterministic expert outputs from language composition.",External modules can supply capabilities and current knowledge absent from model weights.,Modularity alone as evidence of reliability or correct routing.,Motivates mixture and routing-error decompositions for harness success probability.,"Abstract, architecture, routing examples, implementation challenges, and conclusion checked in the local PDF.",skimmed,medium
schick-2023-toolformer,Can a language model self-supervise when and how to call a small fixed tool set?,Candidate API calls are inserted and retained when returned values reduce future-token loss; the fine-tuned model emits calls during generation.,"Self-supervised data construction and fine-tuning over calculator, Q&A, search, translation, and calendar APIs, with tool-enabled and disabled inference comparisons.","A call is retained only when its result improves weighted future-token loss by at least τ_f. || At τ_f=0.5 retained calls range from 3,156 for translation to 207,241 for Wikipedia, showing strong tool and data imbalance.",L_i(z) is weighted future negative log likelihood; retain a call when L_i^- - L_i^+ ≥ τ_f.,"Fine-tuning changes the model, only five fixed APIs are available, a one-call test-time limit prevents realistic recovery loops, and retention optimizes token loss rather than task utility.","Represent calls inline with results, filter noisy demonstrations, and evaluate with tools enabled and disabled on the same weights.",Models can learn call timing and argument generation from weak self-supervision.,Toolformer as a pure inference-harness result or evidence for dynamic multi-step agents.,Provides a loss-based tool-selection criterion that can be compared with utility-based gating.,"Filtering equation, retained-call counts, API setup, enabled-disabled results, and limitations checked in the local PDF.",fully-reviewed,high
paranjape-2023-art,Can a frozen model reuse a library of reasoning-and-tool programs on unseen tasks?,"ART retrieves demonstrations, generates an explicit program, pauses on tool calls, inserts results, and resumes execution.",BigBench and related reasoning tasks compare automatic program generation with hand-crafted chain-of-thought and tool-use baselines.,A task library can induce multi-step tool programs without writing a new prompt for every task. || Human correction of a small number of generated steps can further improve reported performance.,The generated program is a sequential policy with typed tool calls; no correctness or search-optimality theorem is established.,"Task similarity retrieval, demonstrations, tools, and optional human edits are coupled; benchmark tasks and models are early-generation.","Store reusable demonstrations as executable traces and treat pauses, tool results, and repair as explicit runtime events.",Program libraries are a practical form of harness memory and skill reuse.,Automatic retrieval as evidence that the induced program is semantically correct.,Supports program-synthesis and case-based-reasoning formulations.,"Abstract, library retrieval, execution mechanism, benchmark comparisons, human-feedback experiment, and conclusion checked in the local PDF.",skimmed,medium
shen-2023-hugginggpt,Can an LLM orchestrate many specialist models through a common model-hub interface?,"Four stages: task planning, model selection, model execution, and response generation over Hugging Face models.","Prototype system and qualitative or task demonstrations across language, vision, audio, and multimodal workloads.",The controller decomposes compound requests and composes outputs from heterogeneous expert models. || The work establishes feasibility more strongly than comparative reliability or efficiency.,A dependency graph represents subtasks and execution order; model selection is an LLM-mediated routing problem without a proven optimal policy.,"Heavy dependence on ChatGPT, model descriptions, live endpoints, and qualitative cases; no broad cost-matched ablation.","Separate planning from selection and execution, preserve intermediate artifacts, and make dependency and failure propagation visible.",Natural language can serve as a coordination interface across specialist tools.,A compelling demo as evidence of robust autonomous orchestration.,Motivates DAG scheduling with stochastic node success and routing error.,"Abstract, four-stage architecture, dependency representation, demonstrations, failure discussion, and conclusion checked in the local PDF.",skimmed,medium
li-2023-api-bank,"How well do models plan, retrieve, and invoke APIs, and what training data improves those skills?","A runnable evaluation system with API retrieval, call generation, execution, and multi-turn dialogue state.","73 executable tools, 314 annotated dialogues with 753 calls for evaluation, plus 1,888 training dialogues spanning 2,138 APIs and 1,000 domains.","API-Bank exposes separate failures in planning, API retrieval, and argument-level calls. || Its training corpus improves selected models, but combines data generation and model adaptation with the harness.","Evaluation decomposes success by dialogue and call stages; no general theorem, and grader validity depends on executable API outcomes and annotations.","Small evaluation dialogue count, synthetic or annotated data, early models, and changing multiple components at once.","Evaluate tool agents at planning, selection, syntax, execution, and final-answer levels rather than one aggregate score.",Tool use is a multi-stage reliability chain.,One end-to-end success rate as an adequate diagnosis of tool failure.,Supports product-of-stage-success and error-propagation models.,"Abstract, dataset counts, evaluation decomposition, training protocol, main results, and limitations checked in the local PDF.",skimmed,high
patil-2023-gorilla,Can retrieval-grounded fine-tuning reduce hallucinated API calls and adapt to changing documentation?,A retriever supplies current API documents to a fine-tuned LLaMA model that generates calls under constrained evaluation.,"APIBench spans model-hub APIs; Gorilla, GPT-family baselines, retrieval variants, and document changes are compared.","Gorilla reports better API-call generation than GPT-4 in its benchmark and fewer hallucinated APIs. || Retrieval enables adaptation to changed documentation, but retrieval and fine-tuning effects are not always isolated.",API correctness can be viewed as exact or AST-level structured prediction conditioned on retrieved documentation.,"Project-authored benchmark, rapidly drifting APIs, limited semantic execution checks, and model-data-training differences.","Version API documentation, separate retrieval recall from call validity, and validate executable arguments rather than string similarity alone.",Fresh documentation and constrained output formats can reduce tool hallucination.,Benchmark API-call accuracy as general evidence of long-horizon agency.,Provides a conditional structured-prediction framing with retrieval error.,"Abstract, retrieval architecture, APIBench construction, hallucination analysis, document-change experiment, and limitations checked in the local PDF.",skimmed,medium
song-2023-restgpt,Can coarse-to-fine planning make general REST API specifications usable for complex instructions?,"A planner chooses endpoint sequences, an API executor constructs requests and parses responses, and a response module synthesizes the result.",Real REST APIs and RestBench tasks evaluate endpoint selection and multi-step execution against prompting and tool baselines.,Coarse-to-fine planning narrows large specifications and supports multi-step API sequences. || Executor-side response parsing is essential because raw REST payloads can overwhelm context.,Plans are sequences over endpoints with observation-conditioned refinement; no formal completeness or safety guarantee.,"Small API/domain set, live-service drift, possible credential or side-effect constraints, and evaluator dependence.","Parse OpenAPI specs into relevant slices, limit returned fields, and distinguish planning errors from HTTP or schema failures.",Context shaping and response normalization are core tool-harness functions.,A correct endpoint sequence as sufficient for safe real-world action.,Motivates hierarchical planning with stochastic execution and bounded observations.,"Abstract, three-module design, RestBench setup, main comparisons, error taxonomy, and conclusion checked in the local PDF.",skimmed,medium
qin-2023-toolllm,"Can data generation, retrieval, and tree search teach open models to use a very large API catalog?","ToolBench training, an API retriever, and depth-first search over alternative call trajectories with proceed or give-up decisions.","16,464 APIs, 126,486 instances, 469,585 real calls, in- and out-of-distribution evaluation, and oracle-API comparisons.","ToolLLM improves tool-use benchmarks, but oracle API provision sharply improves out-of-distribution results, identifying retrieval as a major bottleneck. || Training, retrieval, search, and evaluation all change together.",DFSDT is a language-model-controlled decision tree explored depth first; no theorem guarantees useful coverage or stopping.,"ChatGPT creates much of the data, GPT-style models judge answers, live APIs drift, and component attribution is weak.","Log retrieval candidates and tree branches, bound search, retain failed calls, and evaluate retrieval independently from planning.",Large-catalog performance depends on harness retrieval and search as well as the base model.,End-to-end ToolLLM gains as evidence solely of model fine-tuning.,"Supports a decomposition into retriever recall, branch policy, executor success, and judge error.","Dataset counts, DFSDT algorithm, oracle-retrieval results, OOD tables, and limitations checked in the local PDF.",fully-reviewed,high
patil-2025-bfcl,"How should function calling be evaluated across serial, parallel, stateful, and irrelevant-tool settings?","AST-based call matching, executable multi-turn environments, tool-selection tests, and contamination-resistant updates.",A large benchmark suite spans multiple languages and call patterns and evolves from single calls toward agentic multi-turn evaluation.,AST evaluation is more scalable and semantically appropriate than raw string equality for structured calls. || Multi-turn and stateful categories reveal failures hidden by simple one-call tests.,"Function-call evaluation is structured equivalence over names, arguments, order, and state transitions; aggregate scores remain weighted benchmark choices.","Project-maintained leaderboard, test-set exposure risk, changing versions, and AST equivalence can miss semantic side effects.","Version the benchmark, publish category scores, execute stateful calls in isolated environments, and include irrelevant-tool abstention.",Tool-use capability is multidimensional and harness-sensitive.,A single BFCL total as a timeless or model-only property.,Provides a compositional scoring problem for call sequences and state changes.,"Abstract, benchmark evolution, AST grader, serial and parallel categories, multi-turn setup, and limitations checked in the local PDF.",skimmed,high
xu-2023-rewoo,Can planning be decoupled from tool observations to reduce repeated prompt and token costs?,"A planner writes a full plan with variable placeholders, workers execute tools, and a solver combines stored evidence.",Reasoning and knowledge tasks compare ReWOO with interleaved augmented-language-model baselines on accuracy and token usage.,Decoupling avoids repeated full-context model calls and reduces reported token consumption while retaining competitive accuracy. || The efficiency comes at the cost of less observation-conditioned replanning.,"A plan is an acyclic sequence with symbolic evidence variables; token complexity falls by avoiding repeated prefixes, but robustness to failed steps is not guaranteed.","Tasks permit mostly predictable plans, tools are controlled, models are dated, and failure recovery is weaker than in closed-loop methods.",Use symbolic handles for tool outputs and distinguish plan-time dependencies from execution-time evidence.,Planner-worker separation can improve latency and context efficiency.,Open-loop plans as universally preferable to feedback-driven control.,Enables comparison of open-loop and closed-loop control under shared information budgets.,"Abstract, planner-worker-solver design, token accounting, benchmark comparisons, failure discussion, and conclusion checked in the local PDF.",skimmed,medium
wang-2022-self-consistency,Does sampling diverse reasoning paths and voting improve chain-of-thought answers?,Independent stochastic chain-of-thought samples are aggregated by the modal extracted answer.,Multiple reasoning benchmarks and model scales compare greedy chain-of-thought with roughly 40 sampled paths and optional weighting.,"Reported gains include 17.9 points on GSM8K, 11.0 on SVAMP, 12.2 on AQuA, 6.4 on StrategyQA, and 3.9 on ARC-Challenge. || The method spends many more generations and assumes the modal answer is likely correct.","The estimator is a-hat=argmax_a sum_i 1[a_i=a], optionally likelihood weighted; it is a Monte Carlo mode estimator, not a correctness guarantee.","Correlated errors reduce effective sample size, extraction rules affect votes, and majority can amplify a shared misconception.","Log each sample, extraction rule, vote distribution, and actual generation count; compare at equal cost.",Sampling plus aggregation is a strong simple baseline for more elaborate search.,Multi-agent or tree-search gains that are not compared with compute-matched voting.,Provides a basic ensemble estimator and motivates correlation-aware effective sample size.,"Main result tables, sampling and voting equation, weighting ablation, sample counts, and limitations checked in the local PDF.",fully-reviewed,high
yao-2023-tree-of-thoughts,Can explicit search over intermediate language states solve problems that greedy or sampled chains miss?,"A generator proposes thoughts, an evaluator scores partial states, and breadth-first or depth-first search selects expansions.","Game of 24, creative writing, and mini-crossword tasks use hand-designed thought units, proposal prompts, evaluators, and search widths.","On Game of 24, GPT-4 CoT scores 4%, CoT self-consistency with 100 paths 9%, best-of-100 CoT 49%, and ToT with breadth five 74%. || ToT costs about $0.74 per case versus $0.47 for best-of-100 CoT and may use 5-100 times CoT tokens.","State s=[x,z_1,...,z_i]; generator G(p_theta,s,k), evaluator V(s), and BFS or DFS selection define a heuristic search.","Only three hand-structured tasks, privileged decomposition and evaluator design, large call budgets, and no completeness guarantee.","Version thought granularity, branching factor, evaluator prompt, rollback semantics, stopping, and total tokens.",Explicit search can outperform naive sampling when partial states are informative and evaluable.,ToT as cost-free general deliberation or proof that tree search itself caused the full gain.,Connects LLM harnesses to heuristic search and budgeted branching-process analysis.,"Table 2, Table 7, search algorithm, cost table, task decompositions, and limitations checked in the local PDF.",fully-reviewed,high
hao-2023-rap,Can a frozen LLM act as both world model and policy inside Monte Carlo tree search?,"MCTS expands LLM-proposed actions and predicted next states using likelihood, confidence, self-evaluation, and task heuristics as reward.","Blocksworld, logical reasoning, and plan generation compare RAP search with prompting and reasoning baselines.","For Blocksworld at 2, 4, and 6 steps, RAP-20 reports 1.00, 0.88, and 0.42 versus GPT-4 CoT at 0.50, 0.63, and 0.40. || The abstract's 33% relative gain applies to plan generation and depends on engineered rewards.","MCTS uses selection, expansion, simulation, and backpropagation; reward is a weighted mixture of model probabilities and task signals.","The LLM world model is not calibrated, rewards expose task knowledge, search is expensive, and tasks are small or symbolic.","Separate transition prediction, value estimation, task heuristics, and search budget in any ablation.",World-model-guided search is a plausible harness mechanism for planning.,The label planning as evidence of a task-general or accurate world model.,Supplies a control and MCTS formulation with measurable model and heuristic errors.,"Blocksworld tables, reward definition, MCTS algorithm, computation settings, and limitations checked in the local PDF.",fully-reviewed,medium
besta-2024-graph-of-thoughts,Do graph-shaped transformations generalize linear chains and trees for reasoning workflows?,"Thought vertices are generated, scored, aggregated, refined, and connected by a developer-specified graph of operations.","Sorting, set operations, keyword counting, and document merging compare graph programs with chain and tree prompting on quality and cost.",Aggregation and refinement let multiple partial solutions share information rather than only branch independently. || Reported gains are task- and graph-specific; the graph itself encodes substantial human problem structure.,A directed graph represents thought states and transformations; execution is a graph-rewrite or dataflow process without a general optimality theorem.,"Few engineered tasks, hand-designed graphs, changing call counts, and limited evidence that a graph transfers to unseen problem families.","Treat prompts as node programs, record edge dependencies and reducers, and charge every generation and aggregation call.",Harness control topology can be richer than a while loop or tree.,Graph structure as automatically superior to simpler workflows at equal information and compute.,"Connects harness orchestration to DAGs, graph rewriting, and resource scheduling.","Abstract, graph formalism, operation definitions, benchmark and cost tables, and limitations checked in the local PDF.",skimmed,medium
zhou-2024-lats,"Can MCTS combine acting, environment feedback, value estimates, and verbal reflection?","Tree search selects action trajectories with UCT, expands LM proposals, evaluates states, backpropagates value, and retains reflections.","HumanEval, WebShop, HotPotQA, and other tasks compare LATS with reasoning and agent baselines; a later independent cost study reruns public code.","The paper reports GPT-4 HumanEval 92.7% and GPT-3.5 WebShop 75.9%. || Kapoor et al. rerun LATS at 88.0% and $134.50 versus simple warming at 93.2% and $2.45, undermining cost-uncontrolled architectural attribution.",UCT selects V(s)+w sqrt(ln N(parent)/N(s)); backpropagation uses running means and mixed value signals.,"Public tests, multiple coupled mechanisms, high sampling cost, environment rollback assumptions, and contradictory independent rerun.","Disclose branch factor, depth, value model, reflection memory, rollback, test access, and total cost.",Search can integrate feedback over long trajectories.,LATS accuracy as evidence of cost-effective tree search or model improvement.,Offers an MCTS harness with a valuable external falsification and Pareto comparison.,Original algorithm and result tables plus Kapoor et al. rerun costs and outcomes checked in local PDFs.,fully-reviewed,medium
