source_id,arxiv_id,title,authors,published,updated,primary_category,categories,doi,journal_reference,metadata_source
ruaibox-2026-agent-systems-harness,,Agent Systems with Harness Engineering,Xinyu Tang; Han Peng; Guoxin Chen; Yuze Shi; Zitao Su; Peiyu Liu; Wayne Xin Zhao; Yawen Li; Zhe Xue,,,,,,,OpenReview record
hariri-2026-test-time-scaling-survey,2608.04001,"Test-Time Scaling in Reasoning LLMs: Inference Regimes, Evaluation, and Reproducibility",Mohsen Hariri; Weicong Chen; Nahal Shahini; Vikash Singh; Kai Ye; Amirhossein Samandar; Debargha Ganguly; Sreehari Sankar; Yanyan Zhang; Shouren Wang; Jerry Peng; Biyao Zhang; Michael Hinczewski; Vipin Chaudhary,2026-08-04T17:57:20Z,2026-08-31T18:11:17Z,cs.LG,cs.LG; cs.AI,,,arXiv API
xu-2026-polar,2605.24220,Polar: Agentic RL on Any Harness at Scale,Binfeng Xu; Hao Zhang; Shaokun Zhang; Songyang Han; Mingjie Liu; Jian Hu; Shizhe Diao; Zhenghui Jin; Yunheng Zou; Michael Demoret; Jan Kautz; Yi Dong,2026-05-22T21:06:12Z,2026-05-22T21:06:12Z,cs.DC,cs.DC,,,arXiv API
yao-2023-react,2210.03629,ReAct: Synergizing Reasoning and Acting in Language Models,Shunyu Yao; Jeffrey Zhao; Dian Yu; Nan Du; Izhak Shafran; Karthik Narasimhan; Yuan Cao,2022-10-06T01:00:32Z,2023-03-10T01:00:17Z,cs.CL,cs.CL; cs.AI; cs.LG,,,arXiv API
karpas-2022-mrkl,2205.00445,"MRKL Systems: A modular, neuro-symbolic architecture that combines large language models, external knowledge sources and discrete reasoning",Ehud Karpas; Omri Abend; Yonatan Belinkov; Barak Lenz; Opher Lieber; Nir Ratner; Yoav Shoham; Hofit Bata; Yoav Levine; Kevin Leyton-Brown; Dor Muhlgay; Noam Rozen; Erez Schwartz; Gal Shachaf; Shai Shalev-Shwartz; Amnon Shashua; Moshe Tenenholtz,2022-05-01T11:01:28Z,2022-05-01T11:01:28Z,cs.CL,cs.CL; cs.AI,,,arXiv API
schick-2023-toolformer,2302.04761,Toolformer: Language Models Can Teach Themselves to Use Tools,Timo Schick; Jane Dwivedi-Yu; Roberto Dessì; Roberta Raileanu; Maria Lomeli; Luke Zettlemoyer; Nicola Cancedda; Thomas Scialom,2023-02-09T16:49:57Z,2023-02-09T16:49:57Z,cs.CL,cs.CL,,,arXiv API
paranjape-2023-art,2303.09014,ART: Automatic multi-step reasoning and tool-use for large language models,Bhargavi Paranjape; Scott Lundberg; Sameer Singh; Hannaneh Hajishirzi; Luke Zettlemoyer; Marco Tulio Ribeiro,2023-03-16T01:04:45Z,2023-03-16T01:04:45Z,cs.CL,cs.CL,,,arXiv API
shen-2023-hugginggpt,2303.17580,HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face,Yongliang Shen; Kaitao Song; Xu Tan; Dongsheng Li; Weiming Lu; Yueting Zhuang,2023-03-30T17:48:28Z,2023-12-03T18:17:21Z,cs.CL,cs.CL; cs.AI; cs.CV; cs.LG,,,arXiv API
li-2023-api-bank,2304.08244,API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs,Minghao Li; Yingxiu Zhao; Bowen Yu; Feifan Song; Hangyu Li; Haiyang Yu; Zhoujun Li; Fei Huang; Yongbin Li,2023-04-14T14:05:32Z,2023-10-25T06:54:12Z,cs.CL,cs.CL; cs.AI,,,arXiv API
patil-2023-gorilla,2305.15334,Gorilla: Large Language Model Connected with Massive APIs,Shishir G. Patil; Tianjun Zhang; Xin Wang; Joseph E. Gonzalez,2023-05-24T16:48:11Z,2023-05-24T16:48:11Z,cs.CL,cs.CL; cs.AI,,,arXiv API
song-2023-restgpt,2306.06624,RestGPT: Connecting Large Language Models with Real-World RESTful APIs,Yifan Song; Weimin Xiong; Dawei Zhu; Wenhao Wu; Han Qian; Mingbo Song; Hailiang Huang; Cheng Li; Ke Wang; Rong Yao; Ye Tian; Sujian Li,2023-06-11T08:53:12Z,2023-08-27T02:55:36Z,cs.CL,cs.CL,,,arXiv API
qin-2023-toolllm,2307.16789,ToolLLM: Facilitating Large Language Models to Master 16000+ Real-world APIs,Yujia Qin; Shihao Liang; Yining Ye; Kunlun Zhu; Lan Yan; Yaxi Lu; Yankai Lin; Xin Cong; Xiangru Tang; Bill Qian; Sihan Zhao; Lauren Hong; Runchu Tian; Ruobing Xie; Jie Zhou; Mark Gerstein; Dahai Li; Zhiyuan Liu; Maosong Sun,2023-07-31T15:56:53Z,2023-10-03T14:45:48Z,cs.AI,cs.AI; cs.CL; cs.LG,,,arXiv API
patil-2025-bfcl,,The Berkeley Function Calling Leaderboard BFCL: From Tool Use to Agentic Evaluation of Large Language Models,Shishir G. Patil; Huanzhi Mao; Fanjia Yan; Charlie Cheng-Jie Ji; Vishnu Suresh; Ion Stoica; Joseph E. Gonzalez,,,,,,,ICML proceedings record
xu-2023-rewoo,2305.18323,ReWOO: Decoupling Reasoning from Observations for Efficient Augmented Language Models,Binfeng Xu; Zhiyuan Peng; Bowen Lei; Subhabrata Mukherjee; Yuchen Liu; Dongkuan Xu,2023-05-23T00:16:48Z,2023-05-23T00:16:48Z,cs.CL,cs.CL; cs.AI,,,arXiv API
wang-2022-self-consistency,2203.11171,Self-Consistency Improves Chain of Thought Reasoning in Language Models,Xuezhi Wang; Jason Wei; Dale Schuurmans; Quoc Le; Ed Chi; Sharan Narang; Aakanksha Chowdhery; Denny Zhou,2022-03-21T17:48:52Z,2023-03-07T17:57:37Z,cs.CL,cs.CL; cs.AI,,,arXiv API
yao-2023-tree-of-thoughts,2305.10601,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,Shunyu Yao; Dian Yu; Jeffrey Zhao; Izhak Shafran; Thomas L. Griffiths; Yuan Cao; Karthik Narasimhan,2023-05-17T23:16:17Z,2023-12-03T22:50:35Z,cs.CL,cs.CL; cs.AI; cs.LG,,,arXiv API
hao-2023-rap,2305.14992,Reasoning with Language Model is Planning with World Model,Shibo Hao; Yi Gu; Haodi Ma; Joshua Jiahua Hong; Zhen Wang; Daisy Zhe Wang; Zhiting Hu,2023-05-24T10:28:28Z,2023-10-23T07:24:28Z,cs.CL,cs.CL; cs.AI; cs.LG,,,arXiv API
besta-2024-graph-of-thoughts,2308.09687,Graph of Thoughts: Solving Elaborate Problems with Large Language Models,Maciej Besta; Nils Blach; Ales Kubicek; Robert Gerstenberger; Michal Podstawski; Lukas Gianinazzi; Joanna Gajda; Tomasz Lehmann; Hubert Niewiadomski; Piotr Nyczyk; Torsten Hoefler,2023-08-18T17:29:23Z,2024-02-06T18:00:18Z,cs.CL,cs.CL; cs.AI; cs.LG,10.1609/aaai.v38i16.29720,Proceedings of the AAAI Conference on Artificial Intelligence 2024 (AAAI'24),arXiv API
zhou-2024-lats,2310.04406,Language Agent Tree Search Unifies Reasoning Acting and Planning in Language Models,Andy Zhou; Kai Yan; Michal Shlapentokh-Rothman; Haohan Wang; Yu-Xiong Wang,2023-10-06T17:55:11Z,2024-06-06T02:51:17Z,cs.AI,cs.AI; cs.CL; cs.CV; cs.LG,,,arXiv API
prasad-2024-adapt,2311.05772,ADaPT: As-Needed Decomposition and Planning with Language Models,Archiki Prasad; Alexander Koller; Mareike Hartmann; Peter Clark; Ashish Sabharwal; Mohit Bansal; Tushar Khot,2023-11-08T17:59:15Z,2024-04-08T20:42:17Z,cs.AI,cs.AI; cs.CL; cs.LG,,,arXiv API
shinn-2023-reflexion,2303.11366,Reflexion: Language Agents with Verbal Reinforcement Learning,Noah Shinn; Federico Cassano; Edward Berman; Ashwin Gopinath; Karthik Narasimhan; Shunyu Yao,2023-03-20T18:08:50Z,2023-10-10T05:21:45Z,cs.AI,cs.AI; cs.CL; cs.LG,,,arXiv API
madaan-2023-self-refine,2303.17651,Self-Refine: Iterative Refinement with Self-Feedback,Aman Madaan; Niket Tandon; Prakhar Gupta; Skyler Hallinan; Luyu Gao; Sarah Wiegreffe; Uri Alon; Nouha Dziri; Shrimai Prabhumoye; Yiming Yang; Shashank Gupta; Bodhisattwa Prasad Majumder; Katherine Hermann; Sean Welleck; Amir Yazdanbakhsh; Peter Clark,2023-03-30T18:30:01Z,2023-05-25T19:13:47Z,cs.CL,cs.CL; cs.AI; cs.LG,,,arXiv API
gou-2024-critic,2305.11738,CRITIC: Large Language Models Can Self-Correct with Tool-Interactive Critiquing,Zhibin Gou; Zhihong Shao; Yeyun Gong; Yelong Shen; Yujiu Yang; Nan Duan; Weizhu Chen,2023-05-19T15:19:44Z,2024-02-21T12:59:21Z,cs.CL,cs.CL; cs.AI,,,arXiv API
chen-2024-self-debug,2304.05128,Teaching Large Language Models to Self-Debug,Xinyun Chen; Maxwell Lin; Nathanael Schärli; Denny Zhou,2023-04-11T10:43:43Z,2023-10-05T09:12:07Z,cs.CL,cs.CL; cs.AI,,,arXiv API
huang-2024-cannot-self-correct,2310.01798,Large Language Models Cannot Self-Correct Reasoning Yet,Jie Huang; Xinyun Chen; Swaroop Mishra; Huaixiu Steven Zheng; Adams Wei Yu; Xinying Song; Denny Zhou,2023-10-03T04:56:12Z,2024-03-14T04:27:52Z,cs.CL,cs.CL; cs.AI,,,arXiv API
stechly-2024-self-verification-limits,2402.08115,On the Self-Verification Limitations of Large Language Models on Reasoning and Planning Tasks,Kaya Stechly; Karthik Valmeekam; Subbarao Kambhampati,2024-02-12T23:11:01Z,2024-08-03T21:25:31Z,cs.AI,cs.AI,,,arXiv API
lightman-2023-verify-step,2305.20050,Let's Verify Step by Step,Hunter Lightman; Vineet Kosaraju; Yura Burda; Harri Edwards; Bowen Baker; Teddy Lee; Jan Leike; John Schulman; Ilya Sutskever; Karl Cobbe,2023-05-31T17:24:00Z,2023-05-31T17:24:00Z,cs.LG,cs.LG; cs.AI; cs.CL,,,arXiv API
snell-2024-test-time-compute,2408.03314,Scaling LLM Test-Time Compute Optimally can be More Effective than Scaling Model Parameters,Charlie Snell; Jaehoon Lee; Kelvin Xu; Aviral Kumar,2024-08-06T17:35:05Z,2024-08-06T17:35:05Z,cs.LG,cs.LG; cs.CL,,,arXiv API
brown-2024-language-monkeys,2407.21787,Large Language Monkeys: Scaling Inference Compute with Repeated Sampling,Bradley Brown; Jordan Juravsky; Ryan Ehrlich; Ronald Clark; Quoc V. Le; Christopher Ré; Azalia Mirhoseini,2024-07-31T17:57:25Z,2024-12-30T19:03:24Z,cs.LG,cs.LG; cs.AI,,,arXiv API
chen-2021-codex-passk,2107.03374,Evaluating Large Language Models Trained on Code,Mark Chen; Jerry Tworek; Heewoo Jun; Qiming Yuan; Henrique Ponde de Oliveira Pinto; Jared Kaplan; Harri Edwards; Yuri Burda; Nicholas Joseph; Greg Brockman; Alex Ray; Raul Puri; Gretchen Krueger; Michael Petrov; Heidy Khlaaf; Girish Sastry; Pamela Mishkin; Brooke Chan; Scott Gray; Nick Ryder; Mikhail Pavlov; Alethea Power; Lukasz Kaiser; Mohammad Bavarian; Clemens Winter; Philippe Tillet; Felipe Petroski Such; Dave Cummings; Matthias Plappert; Fotios Chantzis; Elizabeth Barnes; Ariel Herbert-Voss; William Hebgen Guss; Alex Nichol; Alex Paino; Nikolas Tezak; Jie Tang; Igor Babuschkin; Suchir Balaji; Shantanu Jain; William Saunders; Christopher Hesse; Andrew N. Carr; Jan Leike; Josh Achiam; Vedant Misra; Evan Morikawa; Alec Radford; Matthew Knight; Miles Brundage; Mira Murati; Katie Mayer; Peter Welinder; Bob McGrew; Dario Amodei; Sam McCandlish; Ilya Sutskever; Wojciech Zaremba,2021-07-07T17:41:24Z,2021-07-14T17:16:02Z,cs.LG,cs.LG,,,arXiv API
park-2023-generative-agents,2304.03442,Generative Agents: Interactive Simulacra of Human Behavior,Joon Sung Park; Joseph C. O'Brien; Carrie J. Cai; Meredith Ringel Morris; Percy Liang; Michael S. Bernstein,2023-04-07T01:55:19Z,2023-08-06T00:21:19Z,cs.HC,cs.HC; cs.AI; cs.LG,,,arXiv API
zhong-2023-memorybank,2305.10250,MemoryBank: Enhancing Large Language Models with Long-Term Memory,Wanjun Zhong; Lianghong Guo; Qiqi Gao; He Ye; Yanlin Wang,2023-05-17T14:40:29Z,2023-05-21T06:20:28Z,cs.CL,cs.CL; cs.AI,,,arXiv API
wang-2023-voyager,2305.16291,Voyager: An Open-Ended Embodied Agent with Large Language Models,Guanzhi Wang; Yuqi Xie; Yunfan Jiang; Ajay Mandlekar; Chaowei Xiao; Yuke Zhu; Linxi Fan; Anima Anandkumar,2023-05-25T17:46:38Z,2023-10-19T16:27:03Z,cs.AI,cs.AI; cs.LG,,,arXiv API
zhao-2023-expel,2308.10144,ExpeL: LLM Agents Are Experiential Learners,Andrew Zhao; Daniel Huang; Quentin Xu; Matthieu Lin; Yong-Jin Liu; Gao Huang,2023-08-20T03:03:34Z,2024-12-20T06:14:53Z,cs.LG,cs.LG; cs.AI; cs.CL,,,arXiv API
packer-2023-memgpt,2310.08560,MemGPT: Towards LLMs as Operating Systems,Charles Packer; Sarah Wooders; Kevin Lin; Vivian Fang; Shishir G. Patil; Ion Stoica; Joseph E. Gonzalez,2023-10-12T17:51:32Z,2024-02-12T18:59:46Z,cs.AI,cs.AI,,,arXiv API
liu-2024-lost-middle,2307.03172,Lost in the Middle: How Language Models Use Long Contexts,Nelson F. Liu; Kevin Lin; John Hewitt; Ashwin Paranjape; Michele Bevilacqua; Fabio Petroni; Percy Liang,2023-07-06T17:54:11Z,2023-11-20T23:09:34Z,cs.CL,cs.CL,,,arXiv API
hu-2025-hiagent,2408.09559,HiAgent: Hierarchical Working Memory Management for Solving Long-Horizon Agent Tasks with Large Language Model,Mengkang Hu; Tianxing Chen; Qiguang Chen; Yao Mu; Wenqi Shao; Ping Luo,2024-08-18T17:59:49Z,2024-08-18T17:59:49Z,cs.CL,cs.CL; cs.AI; cs.RO,,,arXiv API
wu-2024-longmemeval,2410.10813,LongMemEval: Benchmarking Chat Assistants on Long-Term Interactive Memory,Di Wu; Hongwei Wang; Wenhao Yu; Yuwei Zhang; Kai-Wei Chang; Dong Yu,2024-10-14T17:59:44Z,2025-03-04T22:19:41Z,cs.CL,cs.CL,,,arXiv API
li-2023-camel,2303.17760,"CAMEL: Communicative Agents for ""Mind"" Exploration of Large Language Model Society",Guohao Li; Hasan Abed Al Kader Hammoud; Hani Itani; Dmitrii Khizbullin; Bernard Ghanem,2023-03-31T01:09:00Z,2023-11-02T17:34:57Z,cs.AI,cs.AI; cs.CL; cs.CY; cs.LG; cs.MA,,,arXiv API
wu-2023-autogen,2308.08155,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation,Qingyun Wu; Gagan Bansal; Jieyu Zhang; Yiran Wu; Beibin Li; Erkang Zhu; Li Jiang; Xiaoyun Zhang; Shaokun Zhang; Jiale Liu; Ahmed Hassan Awadallah; Ryen W White; Doug Burger; Chi Wang,2023-08-16T05:57:52Z,2023-10-03T20:47:10Z,cs.AI,cs.AI; cs.CL,,,arXiv API
du-2023-multiagent-debate,2305.14325,Improving Factuality and Reasoning in Language Models through Multiagent Debate,Yilun Du; Shuang Li; Antonio Torralba; Joshua B. Tenenbaum; Igor Mordatch,2023-05-23T17:55:11Z,2023-05-23T17:55:11Z,cs.CL,cs.CL; cs.AI; cs.CV; cs.LG,,,arXiv API
li-2024-more-agents,2402.05120,More Agents Is All You Need,Junyou Li; Qin Zhang; Yangbin Yu; Qiang Fu; Deheng Ye,2024-02-03T05:55:24Z,2024-10-11T09:38:40Z,cs.CL,cs.CL; cs.AI; cs.LG,,,arXiv API
qian-2024-scaling-collaboration,2406.07155,Scaling Large Language Model-based Multi-Agent Collaboration,Chen Qian; Zihao Xie; YiFei Wang; Wei Liu; Kunlun Zhu; Hanchen Xia; Yufan Dang; Zhuoyun Du; Weize Chen; Cheng Yang; Zhiyuan Liu; Maosong Sun,2024-06-11T11:02:04Z,2025-03-17T00:22:42Z,cs.AI,cs.AI; cs.CL; cs.MA; cs.NI; cs.SI,,,arXiv API
cemri-2025-mas-failures,2503.13657,Why Do Multi-Agent LLM Systems Fail?,Mert Cemri; Melissa Z. Pan; Shuyi Yang; Lakshya A. Agrawal; Bhavya Chopra; Rishabh Tiwari; Kurt Keutzer; Aditya Parameswaran; Dan Klein; Kannan Ramchandran; Matei Zaharia; Joseph E. Gonzalez; Ion Stoica,2025-03-17T19:04:38Z,2025-10-26T23:25:18Z,cs.AI,cs.AI,,,arXiv API
choi-2026-agents-fail-explore,2607.11250,Multi-Agent LLMs Fail to Explore Each Other,Hyeong Kyu Choi; Jiatong Li; Wendi Li; Xin Eric Wang; Sharon Li,2026-07-13T08:34:05Z,2026-07-13T08:34:05Z,cs.MA,cs.MA; cs.AI,,,arXiv API
jimenez-2024-swe-bench,2310.06770,SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,Carlos E. Jimenez; John Yang; Alexander Wettig; Shunyu Yao; Kexin Pei; Ofir Press; Karthik Narasimhan,2023-10-10T16:47:29Z,2024-11-11T23:05:04Z,cs.CL,cs.CL; cs.AI; cs.SE,,,arXiv API
yang-2024-swe-agent,2405.15793,SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering,John Yang; Carlos E. Jimenez; Alexander Wettig; Kilian Lieret; Shunyu Yao; Karthik Narasimhan; Ofir Press,2024-05-06T17:41:33Z,2024-11-11T20:01:15Z,cs.SE,cs.SE; cs.AI; cs.CL; cs.HC; cs.LG,,,arXiv API
xia-2024-agentless,2407.01489,Agentless: Demystifying LLM-based Software Engineering Agents,Chunqiu Steven Xia; Yinlin Deng; Soren Dunn; Lingming Zhang,2024-07-01T17:24:45Z,2024-10-29T17:29:27Z,cs.SE,cs.SE; cs.AI; cs.CL; cs.LG,,,arXiv API
wang-2024-openhands,2407.16741,OpenHands: An Open Platform for AI Software Developers as Generalist Agents,Xingyao Wang; Boxuan Li; Yufan Song; Frank F. Xu; Xiangru Tang; Mingchen Zhuge; Jiayi Pan; Yueqi Song; Bowen Li; Jaskirat Singh; Hoang H. Tran; Fuqiang Li; Ren Ma; Mingzhang Zheng; Bill Qian; Yanjun Shao; Niklas Muennighoff; Yizhe Zhang; Binyuan Hui; Junyang Lin; Robert Brennan; Hao Peng; Heng Ji; Graham Neubig,2024-07-23T17:50:43Z,2025-04-18T18:14:31Z,cs.SE,cs.SE; cs.AI; cs.CL,,,arXiv API
yang-2025-swe-smith,2504.21798,SWE-smith: Scaling Data for Software Engineering Agents,John Yang; Kilian Lieret; Carlos E. Jimenez; Alexander Wettig; Kabir Khandpur; Yanzhe Zhang; Binyuan Hui; Ofir Press; Ludwig Schmidt; Diyi Yang,2025-04-30T16:56:06Z,2025-05-21T17:21:45Z,cs.SE,cs.SE; cs.AI; cs.CL,,,arXiv API
badertdinov-2025-swe-rebench,2505.20411,SWE-rebench: An Automated Pipeline for Task Collection and Decontaminated Evaluation of Software Engineering Agents,Ibragim Badertdinov; Alexander Golubev; Maksim Nekrashevich; Anton Shevtsov; Simon Karasik; Andrei Andriushchenko; Maria Trofimova; Daria Litvintseva; Boris Yangel,2025-05-26T18:01:00Z,2025-11-04T13:06:45Z,cs.SE,cs.SE; cs.CL,,,arXiv API
liu-2023-agentbench,2308.03688,AgentBench: Evaluating LLMs as Agents,Xiao Liu; Hao Yu; Hanchen Zhang; Yifan Xu; Xuanyu Lei; Hanyu Lai; Yu Gu; Hangliang Ding; Kaiwen Men; Kejuan Yang; Shudan Zhang; Xiang Deng; Aohan Zeng; Zhengxiao Du; Chenhui Zhang; Sheng Shen; Tianjun Zhang; Yu Su; Huan Sun; Minlie Huang; Yuxiao Dong; Jie Tang,2023-08-07T16:08:11Z,2025-10-04T03:54:18Z,cs.AI,cs.AI; cs.CL; cs.LG,,,arXiv API
ma-2024-agentboard,2401.13178,AgentBoard: An Analytical Evaluation Board of Multi-turn LLM Agents,Chang Ma; Junlei Zhang; Zhihao Zhu; Cheng Yang; Yujiu Yang; Yaohui Jin; Zhenzhong Lan; Lingpeng Kong; Junxian He,2024-01-24T01:51:00Z,2024-12-23T20:12:48Z,cs.CL,cs.CL; cs.AI; cs.LG,,,arXiv API
mialon-2023-gaia,2311.12983,GAIA: a benchmark for General AI Assistants,Grégoire Mialon; Clémentine Fourrier; Craig Swift; Thomas Wolf; Yann LeCun; Thomas Scialom,2023-11-21T20:34:47Z,2023-11-21T20:34:47Z,cs.CL,cs.CL; cs.AI,,,arXiv API
yao-2024-tau-bench,2406.12045,$τ$-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains,Shunyu Yao; Noah Shinn; Pedram Razavi; Karthik Narasimhan,2024-06-17T19:33:08Z,2024-06-17T19:33:08Z,cs.AI,cs.AI; cs.CL,,,arXiv API
zhou-2023-webarena,2307.13854,WebArena: A Realistic Web Environment for Building Autonomous Agents,Shuyan Zhou; Frank F. Xu; Hao Zhu; Xuhui Zhou; Robert Lo; Abishek Sridhar; Xianyi Cheng; Tianyue Ou; Yonatan Bisk; Daniel Fried; Uri Alon; Graham Neubig,2023-07-25T22:59:32Z,2024-04-16T15:13:18Z,cs.AI,cs.AI; cs.CL; cs.LG,,,arXiv API
xie-2024-osworld,2404.07972,OSWorld: Benchmarking Multimodal Agents for Open-Ended Tasks in Real Computer Environments,Tianbao Xie; Danyang Zhang; Jixuan Chen; Xiaochuan Li; Siheng Zhao; Ruisheng Cao; Toh Jing Hua; Zhoujun Cheng; Dongchan Shin; Fangyu Lei; Yitao Liu; Yiheng Xu; Shuyan Zhou; Silvio Savarese; Caiming Xiong; Victor Zhong; Tao Yu,2024-04-11T17:56:05Z,2024-05-30T08:55:12Z,cs.AI,cs.AI; cs.CL,,,arXiv API
sellier-2024-browsergym,2412.05467,The BrowserGym Ecosystem for Web Agent Research,Thibault Le Sellier De Chezelles; Maxime Gasse; Alexandre Drouin; Massimo Caccia; Léo Boisvert; Megh Thakkar; Tom Marty; Rim Assouel; Sahar Omidi Shayegan; Lawrence Keunho Jang; Xing Han Lù; Ori Yoran; Dehan Kong; Frank F. Xu; Siva Reddy; Quentin Cappart; Graham Neubig; Ruslan Salakhutdinov; Nicolas Chapados; Alexandre Lacoste,2024-12-06T23:43:59Z,2025-02-28T16:02:27Z,cs.LG,cs.LG; cs.AI; cs.SE,,,arXiv API
kapoor-2024-agents-matter,2407.01502,AI Agents That Matter,Sayash Kapoor; Benedikt Stroebl; Zachary S. Siegel; Nitya Nadgir; Arvind Narayanan,2024-07-01T17:48:14Z,2024-07-01T17:48:14Z,cs.LG,cs.LG; cs.AI,,,arXiv API
kapoor-2026-hal,2510.11977,Holistic Agent Leaderboard: The Missing Infrastructure for AI Agent Evaluation,Sayash Kapoor; Benedikt Stroebl; Peter Kirgis; Nitya Nadgir; Zachary S Siegel; Boyi Wei; Tianci Xue; Ziru Chen; Felix Chen; Saiteja Utpala; Franck Ndzomga; Dheeraj Oruganty; Sophie Luskin; Kangheng Liu; Botao Yu; Amit Arora; Dongyoon Hahm; Harsh Trivedi; Huan Sun; Juyong Lee; Tengjun Jin; Yifan Mai; Yifei Zhou; Yuxuan Zhu; Rishi Bommasani; Daniel Kang; Dawn Song; Peter Henderson; Yu Su; Percy Liang; Arvind Narayanan,2025-10-13T22:22:28Z,2025-10-13T22:22:28Z,cs.AI,cs.AI; cs.CL,,,arXiv API
zhang-2026-stop-comparing,2605.23950,Stop Comparing LLM Agents Without Disclosing the Harness,Yunbei Zhang; Janet Wang; Yingqiang Ge; Weijie Xu; Jihun Hamm; Chandan K. Reddy,2026-05-07T15:24:59Z,2026-05-07T15:24:59Z,cs.AI,cs.AI; cs.SE,,,arXiv API
pan-2023-reasoning-action-eval,2311.09721,On Evaluating the Integration of Reasoning and Action in LLM Agents with Database Question Answering,Linyong Nan; Ellen Zhang; Weijin Zou; Yilun Zhao; Wenfei Zhou; Arman Cohan,2023-11-16T09:55:07Z,2023-11-16T09:55:07Z,cs.CL,cs.CL,,,arXiv API
