source_id,category,year,title,landing_url,pdf_url,publication_status
qin-2023-toolllm,tool-use,2023,"ToolLLM: Facilitating Large Language Models to Master 16000+ Real-world APIs",https://arxiv.org/abs/2307.16789,https://arxiv.org/pdf/2307.16789,ICLR-2024
patil-2025-bfcl,tool-use,2025,"The Berkeley Function Calling Leaderboard BFCL: From Tool Use to Agentic Evaluation of Large Language Models",https://proceedings.mlr.press/v267/patil25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/patil25a/patil25a.pdf,ICML-2025
xu-2023-rewoo,tool-use,2023,"ReWOO: Decoupling Reasoning from Observations for Efficient Augmented Language Models",https://arxiv.org/abs/2305.18323,https://arxiv.org/pdf/2305.18323,preprint
wang-2022-self-consistency,search-and-verification,2022,"Self-Consistency Improves Chain of Thought Reasoning in Language Models",https://arxiv.org/abs/2203.11171,https://arxiv.org/pdf/2203.11171,ICLR-2023
yao-2023-tree-of-thoughts,search-and-verification,2023,"Tree of Thoughts: Deliberate Problem Solving with Large Language Models",https://arxiv.org/abs/2305.10601,https://arxiv.org/pdf/2305.10601,NeurIPS-2023
hao-2023-rap,search-and-verification,2023,"Reasoning with Language Model is Planning with World Model",https://arxiv.org/abs/2305.14992,https://arxiv.org/pdf/2305.14992,EMNLP-2023
besta-2024-graph-of-thoughts,search-and-verification,2024,"Graph of Thoughts: Solving Elaborate Problems with Large Language Models",https://arxiv.org/abs/2308.09687,https://arxiv.org/pdf/2308.09687,AAAI-2024
zhou-2024-lats,search-and-verification,2024,"Language Agent Tree Search Unifies Reasoning Acting and Planning in Language Models",https://arxiv.org/abs/2310.04406,https://arxiv.org/pdf/2310.04406,ICML-2024
prasad-2024-adapt,search-and-verification,2024,"ADaPT: As-Needed Decomposition and Planning with Language Models",https://arxiv.org/abs/2311.05772,https://arxiv.org/pdf/2311.05772,NAACL-2024
shinn-2023-reflexion,search-and-verification,2023,"Reflexion: Language Agents with Verbal Reinforcement Learning",https://arxiv.org/abs/2303.11366,https://arxiv.org/pdf/2303.11366,NeurIPS-2023
madaan-2023-self-refine,search-and-verification,2023,"Self-Refine: Iterative Refinement with Self-Feedback",https://arxiv.org/abs/2303.17651,https://arxiv.org/pdf/2303.17651,NeurIPS-2023
gou-2024-critic,search-and-verification,2024,"CRITIC: Large Language Models Can Self-Correct with Tool-Interactive Critiquing",https://arxiv.org/abs/2305.11738,https://arxiv.org/pdf/2305.11738,ICLR-2024
chen-2024-self-debug,search-and-verification,2024,"Teaching Large Language Models to Self-Debug",https://arxiv.org/abs/2304.05128,https://arxiv.org/pdf/2304.05128,ICLR-2024
huang-2024-cannot-self-correct,search-and-verification,2024,"Large Language Models Cannot Self-Correct Reasoning Yet",https://arxiv.org/abs/2310.01798,https://arxiv.org/pdf/2310.01798,ICLR-2024
stechly-2024-self-verification-limits,search-and-verification,2024,"On the Self-Verification Limitations of Large Language Models on Reasoning and Planning Tasks",https://arxiv.org/abs/2402.08115,https://arxiv.org/pdf/2402.08115,preprint
lightman-2023-verify-step,search-and-verification,2023,"Let's Verify Step by Step",https://arxiv.org/abs/2305.20050,https://arxiv.org/pdf/2305.20050,preprint
snell-2024-test-time-compute,search-and-verification,2024,"Scaling LLM Test-Time Compute Optimally can be More Effective than Scaling Model Parameters",https://arxiv.org/abs/2408.03314,https://arxiv.org/pdf/2408.03314,preprint
brown-2024-language-monkeys,search-and-verification,2024,"Large Language Monkeys: Scaling Inference Compute with Repeated Sampling",https://arxiv.org/abs/2407.21787,https://arxiv.org/pdf/2407.21787,preprint
chen-2021-codex-passk,mathematics-and-evaluation,2021,"Evaluating Large Language Models Trained on Code",https://arxiv.org/abs/2107.03374,https://arxiv.org/pdf/2107.03374,preprint
park-2023-generative-agents,memory-and-context,2023,"Generative Agents: Interactive Simulacra of Human Behavior",https://arxiv.org/abs/2304.03442,https://arxiv.org/pdf/2304.03442,UIST-2023
zhong-2023-memorybank,memory-and-context,2023,"MemoryBank: Enhancing Large Language Models with Long-Term Memory",https://arxiv.org/abs/2305.10250,https://arxiv.org/pdf/2305.10250,AAAI-2024
wang-2023-voyager,memory-and-context,2023,"Voyager: An Open-Ended Embodied Agent with Large Language Models",https://arxiv.org/abs/2305.16291,https://arxiv.org/pdf/2305.16291,TMLR-2023
zhao-2023-expel,memory-and-context,2023,"ExpeL: LLM Agents Are Experiential Learners",https://arxiv.org/abs/2308.10144,https://arxiv.org/pdf/2308.10144,AAAI-2024
packer-2023-memgpt,memory-and-context,2023,"MemGPT: Towards LLMs as Operating Systems",https://arxiv.org/abs/2310.08560,https://arxiv.org/pdf/2310.08560,preprint
liu-2024-lost-middle,memory-and-context,2024,"Lost in the Middle: How Language Models Use Long Contexts",https://arxiv.org/abs/2307.03172,https://arxiv.org/pdf/2307.03172,TACL-2024
hu-2025-hiagent,memory-and-context,2025,"HiAgent: Hierarchical Working Memory Management for Solving Long-Horizon Agent Tasks with Large Language Model",https://arxiv.org/abs/2408.09559,https://arxiv.org/pdf/2408.09559,ACL-2025
wu-2024-longmemeval,memory-and-context,2024,"LongMemEval: Benchmarking Chat Assistants on Long-Term Interactive Memory",https://arxiv.org/abs/2410.10813,https://arxiv.org/pdf/2410.10813,ICLR-2025
li-2023-camel,multi-agent,2023,"CAMEL: Communicative Agents for Mind Exploration of Large Language Model Society",https://arxiv.org/abs/2303.17760,https://arxiv.org/pdf/2303.17760,NeurIPS-2023
wu-2023-autogen,multi-agent,2023,"AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation",https://arxiv.org/abs/2308.08155,https://arxiv.org/pdf/2308.08155,preprint
du-2023-multiagent-debate,multi-agent,2023,"Improving Factuality and Reasoning in Language Models through Multiagent Debate",https://arxiv.org/abs/2305.14325,https://arxiv.org/pdf/2305.14325,preprint
li-2024-more-agents,multi-agent,2024,"More Agents Is All You Need",https://arxiv.org/abs/2402.05120,https://arxiv.org/pdf/2402.05120,TMLR-2024
qian-2024-scaling-collaboration,multi-agent,2024,"Scaling Large-Language-Model-based Multi-Agent Collaboration",https://arxiv.org/abs/2406.07155,https://arxiv.org/pdf/2406.07155,preprint
cemri-2025-mas-failures,multi-agent,2025,"Why Do Multi-Agent LLM Systems Fail?",https://arxiv.org/abs/2503.13657,https://arxiv.org/pdf/2503.13657,preprint
choi-2026-agents-fail-explore,multi-agent,2026,"Multi-Agent LLMs Fail to Explore Each Other",https://arxiv.org/abs/2607.11250,https://arxiv.org/pdf/2607.11250,preprint
jimenez-2024-swe-bench,coding-and-evaluation,2024,"SWE-bench: Can Language Models Resolve Real-World GitHub Issues?",https://arxiv.org/abs/2310.06770,https://arxiv.org/pdf/2310.06770,ICLR-2024
yang-2024-swe-agent,coding-and-evaluation,2024,"SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering",https://arxiv.org/abs/2405.15793,https://arxiv.org/pdf/2405.15793,NeurIPS-2024
xia-2024-agentless,coding-and-evaluation,2024,"Agentless: Demystifying LLM-based Software Engineering Agents",https://arxiv.org/abs/2407.01489,https://arxiv.org/pdf/2407.01489,FSE-2025
wang-2024-openhands,coding-and-evaluation,2024,"OpenHands: An Open Platform for AI Software Developers as Generalist Agents",https://arxiv.org/abs/2407.16741,https://arxiv.org/pdf/2407.16741,ICLR-2025
yang-2025-swe-smith,coding-and-evaluation,2025,"SWE-smith: Scaling Data for Software Engineering Agents",https://arxiv.org/abs/2504.21798,https://arxiv.org/pdf/2504.21798,preprint
badertdinov-2025-swe-rebench,coding-and-evaluation,2025,"SWE-rebench: An Automated Pipeline for Task Collection and Decontaminated Evaluation of Software Engineering Agents",https://arxiv.org/abs/2505.20411,https://arxiv.org/pdf/2505.20411,NeurIPS-2025
liu-2023-agentbench,coding-and-evaluation,2023,"AgentBench: Evaluating LLMs as Agents",https://arxiv.org/abs/2308.03688,https://arxiv.org/pdf/2308.03688,ICLR-2024
ma-2024-agentboard,coding-and-evaluation,2024,"AgentBoard: An Analytical Evaluation Board of Multi-turn LLM Agents",https://arxiv.org/abs/2401.13178,https://arxiv.org/pdf/2401.13178,NeurIPS-2024
mialon-2023-gaia,coding-and-evaluation,2023,"GAIA: a benchmark for General AI Assistants",https://arxiv.org/abs/2311.12983,https://arxiv.org/pdf/2311.12983,ICLR-2024
yao-2024-tau-bench,coding-and-evaluation,2024,"Tau-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains",https://arxiv.org/abs/2406.12045,https://arxiv.org/pdf/2406.12045,preprint
zhou-2023-webarena,coding-and-evaluation,2023,"WebArena: A Realistic Web Environment for Building Autonomous Agents",https://arxiv.org/abs/2307.13854,https://arxiv.org/pdf/2307.13854,ICLR-2024
xie-2024-osworld,coding-and-evaluation,2024,"OSWorld: Benchmarking Multimodal Agents for Open-Ended Tasks in Real Computer Environments",https://arxiv.org/abs/2404.07972,https://arxiv.org/pdf/2404.07972,NeurIPS-2024
sellier-2024-browsergym,coding-and-evaluation,2024,"The BrowserGym Ecosystem for Web Agent Research",https://arxiv.org/abs/2412.05467,https://arxiv.org/pdf/2412.05467,preprint
kapoor-2024-agents-matter,coding-and-evaluation,2024,"AI Agents That Matter",https://arxiv.org/abs/2407.01502,https://arxiv.org/pdf/2407.01502,preprint
kapoor-2026-hal,coding-and-evaluation,2026,"Holistic Agent Leaderboard: The Missing Infrastructure for AI Agent Evaluation",https://arxiv.org/abs/2510.11977,https://arxiv.org/pdf/2510.11977,ICLR-2026
zhang-2026-stop-comparing,coding-and-evaluation,2026,"Stop Comparing LLM Agents Without Disclosing the Harness",https://arxiv.org/abs/2605.23950,https://arxiv.org/pdf/2605.23950,OpenReview-2026
pan-2023-reasoning-action-eval,coding-and-evaluation,2023,"On Evaluating the Integration of Reasoning and Action in LLM Agents",https://arxiv.org/abs/2311.09721,https://arxiv.org/pdf/2311.09721,preprint
xie-2025-planning-barriers,coding-and-evaluation,2025,"Revealing the Barriers of Language Agents in Planning",https://aclanthology.org/2025.naacl-long.93/,https://aclanthology.org/anthology-files/pdf/naacl/2025.naacl-long.93.pdf,NAACL-2025
greshake-2023-indirect-injection,safety,2023,"Not what you've signed up for: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection",https://arxiv.org/abs/2302.12173,https://arxiv.org/pdf/2302.12173,AISec-2023
ruan-2023-toolemu,safety,2023,"Identifying the Risks of LM Agents with an LM-Emulated Sandbox",https://arxiv.org/abs/2309.15817,https://arxiv.org/pdf/2309.15817,ICLR-2024
zhan-2024-injecagent,safety,2024,"InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents",https://arxiv.org/abs/2403.02691,https://arxiv.org/pdf/2403.02691,ACL-2024
debenedetti-2024-agentdojo,safety,2024,"AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents",https://arxiv.org/abs/2406.13352,https://arxiv.org/pdf/2406.13352,NeurIPS-2024
wallace-2024-instruction-hierarchy,safety,2024,"The Instruction Hierarchy: Training LLMs to Prioritize Privileged Instructions",https://arxiv.org/abs/2404.13208,https://arxiv.org/pdf/2404.13208,preprint
aleithan-2024-swe-bench-plus,coding-and-evaluation,2024,"SWE-Bench+: Enhanced Coding Benchmark for LLMs",https://arxiv.org/abs/2410.06992,https://arxiv.org/pdf/2410.06992,preprint
wang-2026-swe-solved-correctly,coding-and-evaluation,2026,"Are Solved Issues in SWE-bench Really Solved Correctly?",https://arxiv.org/abs/2503.15223,https://arxiv.org/pdf/2503.15223,ICSE-2026
zhu-2025-rigorous-agentic-benchmarks,coding-and-evaluation,2025,"Establishing Best Practices for Building Rigorous Agentic Benchmarks",https://arxiv.org/abs/2507.02825,https://arxiv.org/pdf/2507.02825,NeurIPS-2025
stroebl-2026-inference-scaling-flaws,mathematics-and-evaluation,2026,"Inference Scaling fLaws: Limits of LLM Resampling with Imperfect Verifiers",https://arxiv.org/abs/2411.17501,https://arxiv.org/pdf/2411.17501,ICLR-2026
siegel-2025-core-bench,coding-and-evaluation,2025,"CORE-Bench: Fostering the Credibility of Published Research Through a Computational Reproducibility Agent Benchmark",https://arxiv.org/abs/2409.11363,https://arxiv.org/pdf/2409.11363,TMLR-2025
kwa-2025-long-software-tasks,coding-and-evaluation,2025,"Measuring AI Ability to Complete Long Software Tasks",https://papers.nips.cc/paper_files/paper/2025/hash/85069585133c4c168c865e65d72e9775-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2025/file/85069585133c4c168c865e65d72e9775-Paper-Conference.pdf,NeurIPS-2025
yao-2026-harness-bench,harness-engineering,2026,"Harness-Bench: Measuring Harness Effects across Models in Realistic Agent Workflows",https://arxiv.org/abs/2605.27922,https://arxiv.org/pdf/2605.27922,preprint
prathifkumar-2025-swe-memory,coding-and-evaluation,2025,"Does SWE-Bench-Verified Test Agent Ability or Model Memory?",https://arxiv.org/abs/2512.10218,https://arxiv.org/pdf/2512.10218,preprint
lewis-2020-rag,memory-and-context,2020,"Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks",https://arxiv.org/abs/2005.11401,https://arxiv.org/pdf/2005.11401,NeurIPS-2020
chen-2026-self-correction-illusion,search-and-verification,2026,"The Self-Correction Illusion: Role Relabeling Gates Explicit Error Flagging in Large Language Models",https://arxiv.org/abs/2606.05976,https://arxiv.org/pdf/2606.05976,preprint
chao-2026-stale,memory-and-context,2026,"STALE: Can LLM Agents Know When Their Memories Are No Longer Valid?",https://arxiv.org/abs/2605.06527,https://arxiv.org/pdf/2605.06527,preprint
schaeffer-2025-power-laws,mathematics-and-evaluation,2025,"How Do Large Language Monkeys Get Their Power (Laws)?",https://arxiv.org/abs/2502.17578,https://arxiv.org/pdf/2502.17578,ICML-2025
yang-2025-revisiting-mad,multi-agent,2025,"Revisiting Multi-Agent Debate as Test-Time Scaling: A Systematic Study of Conditional Effectiveness",https://arxiv.org/abs/2505.22960,https://arxiv.org/pdf/2505.22960,preprint
choi-2025-debate-or-vote,multi-agent,2025,"Debate or Vote: Which Yields Better Decisions in Multi-Agent Large Language Models?",https://papers.nips.cc/paper_files/paper/2025/hash/934252acd87f254d5d4672fbde283bd2-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2025/file/934252acd87f254d5d4672fbde283bd2-Paper-Conference.pdf,NeurIPS-2025
liu-2026-acemad,multi-agent,2026,"Breaking the Martingale Curse: Multi-Agent Debate via Asymmetric Cognitive Potential Energy",https://arxiv.org/abs/2603.06801,https://arxiv.org/pdf/2603.06801,preprint
guo-2026-agent-harness-survey,foundations,2026,"From Question Answering to Task Completion: A Survey on Agent System and Harness Design",https://arxiv.org/abs/2606.20683,https://arxiv.org/pdf/2606.20683,preprint
pan-2026-natural-language-harnesses,harness-engineering,2026,"Natural-Language Agent Harnesses",https://arxiv.org/abs/2603.25723,https://arxiv.org/pdf/2603.25723,preprint
lee-2026-meta-harness,harness-engineering,2026,"Meta-Harness: End-to-End Optimization of Model Harnesses",https://arxiv.org/abs/2603.28052,https://arxiv.org/pdf/2603.28052,preprint
ursekar-2026-harnessopt,harness-engineering,2026,"HarnessOpt-Bench: Evaluating LLMs at Harness Optimization",https://arxiv.org/abs/2608.06301,https://arxiv.org/pdf/2608.06301,preprint
wu-2026-harnessdev,harness-engineering,2026,"HarnessDev: Can LLMs Create and Evolve Their Own Agent Harness?",https://arxiv.org/abs/2609.01437,https://arxiv.org/pdf/2609.01437,preprint
huang-2026-memoharness,harness-engineering,2026,"MemoHarness: Agent Harnesses That Learn from Experience",https://arxiv.org/abs/2607.14159,https://arxiv.org/pdf/2607.14159,preprint
zhang-2026-jit-agent,harness-engineering,2026,"JIT-Agent: Scaling Harness Intelligence via Just-in-Time Harness Evolution",https://arxiv.org/abs/2608.25593,https://arxiv.org/pdf/2608.25593,preprint
liu-2026-agentflow,harness-engineering,2026,"Synthesizing Multi-Agent Harnesses for Vulnerability Discovery",https://arxiv.org/abs/2604.20801,https://arxiv.org/pdf/2604.20801,preprint
luo-2026-autodesign,harness-engineering,2026,"AutoDesign: Meta-Harness Optimization for Long-Horizon Agentic Design",https://arxiv.org/abs/2608.13560,https://arxiv.org/pdf/2608.13560,preprint
ke-2026-quine,harness-engineering,2026,"Quine: Realizing LLM Agents as Native POSIX Processes",https://arxiv.org/abs/2603.18030,https://arxiv.org/pdf/2603.18030,preprint
schmidhuber-2003-godel-machines,self-improving-harnesses,2003,"Goedel Machines: Self-Referential Universal Problem Solvers Making Provably Optimal Self-Improvements",https://arxiv.org/abs/cs/0309048,https://arxiv.org/pdf/cs/0309048,AGI-2007
cawley-2010-model-selection-overfitting,self-improving-harnesses,2010,"On Over-fitting in Model Selection and Subsequent Selection Bias in Performance Evaluation",https://www.jmlr.org/papers/v11/cawley10a.html,https://www.jmlr.org/papers/volume11/cawley10a/cawley10a.pdf,JMLR-2010
dwork-2015-adaptive-holdout,self-improving-harnesses,2015,"Generalization in Adaptive Data Analysis and Holdout Reuse",https://arxiv.org/abs/1506.02629,https://arxiv.org/pdf/1506.02629,NeurIPS-2015
blum-2015-ladder,self-improving-harnesses,2015,"The Ladder: A Reliable Leaderboard for Machine Learning Competitions",https://arxiv.org/abs/1502.04585,https://arxiv.org/pdf/1502.04585,ICML-2015
laroche-2019-spibb,self-improving-harnesses,2019,"Safe Policy Improvement with Baseline Bootstrapping",https://arxiv.org/abs/1712.06924,https://arxiv.org/pdf/1712.06924,ICML-2019
howard-2021-confidence-sequences,self-improving-harnesses,2021,"Time-uniform, Nonparametric, Nonasymptotic Confidence Sequences",https://arxiv.org/abs/1810.08240,https://arxiv.org/pdf/1810.08240,Annals-of-Statistics-2021
khattab-2023-dspy,self-improving-harnesses,2023,"DSPy: Compiling Declarative Language Model Calls into Self-Improving Pipelines",https://arxiv.org/abs/2310.03714,https://arxiv.org/pdf/2310.03714,ICLR-2024
fernando-2023-promptbreeder,self-improving-harnesses,2023,"Promptbreeder: Self-Referential Self-Improvement Via Prompt Evolution",https://arxiv.org/abs/2309.16797,https://arxiv.org/pdf/2309.16797,ICML-2024
cai-2023-latm,self-improving-harnesses,2023,"Large Language Models as Tool Makers",https://arxiv.org/abs/2305.17126,https://arxiv.org/pdf/2305.17126,ICLR-2024
yuan-2023-craft,self-improving-harnesses,2023,"CRAFT: Customizing LLMs by Creating and Retrieving from Specialized Toolsets",https://arxiv.org/abs/2309.17428,https://arxiv.org/pdf/2309.17428,ICLR-2024
zelikman-2024-stop,self-improving-harnesses,2024,"Self-Taught Optimizer (STOP): Recursively Self-Improving Code Generation",https://arxiv.org/abs/2310.02304,https://arxiv.org/pdf/2310.02304,COLM-2024
zhang-2024-agentoptimizer,self-improving-harnesses,2024,"Offline Training of Language Model Agents with Functions as Learnable Weights",https://arxiv.org/abs/2402.11359,https://arxiv.org/pdf/2402.11359,ICML-2024
zhuge-2024-gptswarm,self-improving-harnesses,2024,"Language Agents as Optimizable Graphs",https://arxiv.org/abs/2402.16823,https://arxiv.org/pdf/2402.16823,ICML-2024
hu-2024-adas,self-improving-harnesses,2024,"Automated Design of Agentic Systems",https://arxiv.org/abs/2408.08435,https://arxiv.org/pdf/2408.08435,ICLR-2025
zhang-2024-aflow,self-improving-harnesses,2024,"AFlow: Automating Agentic Workflow Generation",https://arxiv.org/abs/2410.10762,https://arxiv.org/pdf/2410.10762,ICLR-2025-Oral
li-2024-autoflow,self-improving-harnesses,2024,"AutoFlow: Automated Workflow Generation for Large Language Model Agents",https://arxiv.org/abs/2407.12821,https://arxiv.org/pdf/2407.12821,preprint
shang-2024-agentsquare,self-improving-harnesses,2024,"AgentSquare: Automatic LLM Agent Search in Modular Design Space",https://arxiv.org/abs/2410.06153,https://arxiv.org/pdf/2410.06153,ICLR-2025
zhou-2024-symbolic-learning,self-improving-harnesses,2024,"Symbolic Learning Enables Self-Evolving Agents",https://arxiv.org/abs/2406.18532,https://arxiv.org/pdf/2406.18532,preprint
yuan-2024-evoagent,self-improving-harnesses,2024,"EvoAgent: Towards Automatic Multi-Agent Generation via Evolutionary Algorithms",https://arxiv.org/abs/2406.14228,https://arxiv.org/pdf/2406.14228,NAACL-2025-Long
yuksekgonul-2024-textgrad,self-improving-harnesses,2024,"TextGrad: Automatic Differentiation via Text",https://arxiv.org/abs/2406.07496,https://arxiv.org/pdf/2406.07496,Nature-2025
yin-2024-godel-agent,self-improving-harnesses,2024,"Godel Agent: A Self-Referential Agent Framework for Recursive Self-Improvement",https://arxiv.org/abs/2410.04444,https://arxiv.org/pdf/2410.04444,preprint
sheng-2024-self-improving-computer-agent,self-improving-harnesses,2024,"From Language Models to Practical Self-Improving Computer Agents",https://arxiv.org/abs/2404.11964,https://arxiv.org/pdf/2404.11964,preprint
nagle-2024-prompt-compression-rate-distortion,self-improving-harnesses,2024,"Fundamental Limits of Prompt Compression: A Rate-Distortion Framework for Black-Box Language Models",https://arxiv.org/abs/2407.15504,https://arxiv.org/pdf/2407.15504,preprint
wang-2024-quito-x,self-improving-harnesses,2024,"QUITO-X: A New Perspective on Context Compression from the Information Bottleneck Theory",https://arxiv.org/abs/2408.10497,https://arxiv.org/pdf/2408.10497,preprint
robeyns-2025-sica,self-improving-harnesses,2025,"A Self-Improving Coding Agent",https://arxiv.org/abs/2504.15228,https://arxiv.org/pdf/2504.15228,preprint
zhang-2025-darwin-godel-machine,self-improving-harnesses,2025,"Darwin Godel Machine: Open-Ended Evolution of Self-Improving Agents",https://arxiv.org/abs/2505.22954,https://arxiv.org/pdf/2505.22954,preprint
li-2025-agentswift,self-improving-harnesses,2025,"AgentSwift: Efficient LLM Agent Design via Value-guided Hierarchical Search",https://arxiv.org/abs/2506.06017,https://arxiv.org/pdf/2506.06017,AAAI-2026
zhang-2025-maas,self-improving-harnesses,2025,"Multi-agent Architecture Search via Agentic Supernet",https://arxiv.org/abs/2502.04180,https://arxiv.org/pdf/2502.04180,preprint
wang-2025-scoreflow,self-improving-harnesses,2025,"ScoreFlow: Mastering LLM Agent Workflows via Score-based Preference Optimization",https://arxiv.org/abs/2502.04306,https://arxiv.org/pdf/2502.04306,preprint
agrawal-2025-gepa,self-improving-harnesses,2025,"GEPA: Reflective Prompt Evolution Can Outperform Reinforcement Learning",https://arxiv.org/abs/2507.19457,https://arxiv.org/pdf/2507.19457,ICLR-2026
gao-2025-self-evolving-agent-survey,self-improving-harnesses,2025,"A Survey of Self-Evolving Agents: On Path to Artificial Super Intelligence",https://arxiv.org/abs/2507.21046,https://arxiv.org/pdf/2507.21046,preprint
wolflein-2025-toolmaker,self-improving-harnesses,2025,"LLM Agents Making Agent Tools",https://arxiv.org/abs/2502.11705,https://arxiv.org/pdf/2502.11705,ACL-2025-Long
zhang-2025-ace,self-improving-harnesses,2025,"Agentic Context Engineering: Evolving Contexts for Self-Improving Language Models",https://arxiv.org/abs/2510.04618,https://arxiv.org/pdf/2510.04618,preprint
schneider-2025-overtuning,self-improving-harnesses,2025,"Overtuning in Hyperparameter Optimization",https://arxiv.org/abs/2506.19540,https://arxiv.org/pdf/2506.19540,AutoML-2025
abuzakuk-2026-awo,self-improving-harnesses,2026,"Optimizing Agentic Workflows using Meta-tools",https://arxiv.org/abs/2601.22037,https://arxiv.org/pdf/2601.22037,preprint
hu-2026-evomas,self-improving-harnesses,2026,"Evolutionary Generation of Multi-Agent Systems",https://arxiv.org/abs/2602.06511,https://arxiv.org/pdf/2602.06511,preprint
