source_id,title,authors_or_org,year,source_class,publication_status,canonical_url,pdf_path,note_path,accessed,sha256,review_status,license_or_access_notes
badertdinov-2025-swe-rebench,SWE-rebench: An Automated Pipeline for Task Collection and Decontaminated Evaluation of Software Engineering Agents,Ibragim Badertdinov; Alexander Golubev; Maksim Nekrashevich; Anton Shevtsov; Simon Karasik; Andrei Andriushchenko; Maria Trofimova; Daria Litvintseva; Boris Yangel,2025,academic-publication,NeurIPS-2025,https://arxiv.org/abs/2505.20411,papers/academic/badertdinov-2025-swe-rebench.pdf,paper-notes/badertdinov-2025-swe-rebench.md,2026-09-04,5d514a4d2bb375763bd12f71140a79e721e29adab8ec192ebd7215d7c93c4d8c,skimmed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
barbaste-2026-harness-anatomy,"Harness Engineering: Anatomy, Architecture, and Evolution of Coding Agents -- A Source-Code Study of Eleven Systems",Paul Barbaste; Tristan Darrigol; Germain Vu; Tom Wiltberger,2026,academic-preprint,preprint,https://arxiv.org/abs/2609.00006,papers/academic/barbaste-2026-harness-anatomy.pdf,paper-notes/barbaste-2026-harness-anatomy.md,2026-09-04,e81b5a4855adda8cc5e46db0a05cd69e0d0d542bd49cec6b157c17e6001395d7,skimmed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
besta-2024-graph-of-thoughts,Graph of Thoughts: Solving Elaborate Problems with Large Language Models,Maciej Besta; Nils Blach; Ales Kubicek; Robert Gerstenberger; Michal Podstawski; Lukas Gianinazzi; Joanna Gajda; Tomasz Lehmann; Hubert Niewiadomski; Piotr Nyczyk; Torsten Hoefler,2024,academic-publication,AAAI-2024,https://arxiv.org/abs/2308.09687,papers/academic/besta-2024-graph-of-thoughts.pdf,paper-notes/besta-2024-graph-of-thoughts.md,2026-09-04,73caa3c05813105e5db38edfbb58e1b660771a00dfdb74768c8845e15263c5da,skimmed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
blum-2015-ladder,The Ladder: A Reliable Leaderboard for Machine Learning Competitions,Avrim Blum; Moritz Hardt,2015,academic-publication,ICML-2015,https://arxiv.org/abs/1502.04585,papers/academic/blum-2015-ladder.pdf,paper-notes/blum-2015-ladder.md,2026-09-04,957ef4739df371a0a778360f0db4252a62f7c85abcd8343f581cd6250b1d31fe,skimmed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
brown-2024-language-monkeys,Large Language Monkeys: Scaling Inference Compute with Repeated Sampling,Bradley Brown; Jordan Juravsky; Ryan Ehrlich; Ronald Clark; Quoc V. Le; Christopher Ré; Azalia Mirhoseini,2024,academic-preprint,preprint,https://arxiv.org/abs/2407.21787,papers/academic/brown-2024-language-monkeys.pdf,paper-notes/brown-2024-language-monkeys.md,2026-09-04,33889c6cb265ae11ed67e50070d3a31cd894036d8c9b404212a38df1783e8884,fully-reviewed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
cai-2023-latm,Large Language Models as Tool Makers,Tianle Cai; Xuezhi Wang; Tengyu Ma; Xinyun Chen; Denny Zhou,2023,academic-publication,ICLR-2024,https://arxiv.org/abs/2305.17126,papers/academic/cai-2023-latm.pdf,paper-notes/cai-2023-latm.md,2026-09-04,b943eec75e8a02e2c1003e87cb8508717820950a422508ce1d067195fb0edd10,skimmed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
cawley-2010-model-selection-overfitting,On Over-fitting in Model Selection and Subsequent Selection Bias in Performance Evaluation,Gavin C. Cawley; Nicola L. C. Talbot,2010,academic-publication,JMLR-2010,https://www.jmlr.org/papers/v11/cawley10a.html,papers/academic/cawley-2010-model-selection-overfitting.pdf,paper-notes/cawley-2010-model-selection-overfitting.md,2026-09-04,db01ac8fabef3064a0297bfcf64fb9791bf35c4d03be7a51f5862260adfca206,skimmed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
cemri-2025-mas-failures,Why Do Multi-Agent LLM Systems Fail?,Mert Cemri; Melissa Z. Pan; Shuyi Yang; Lakshya A. Agrawal; Bhavya Chopra; Rishabh Tiwari; Kurt Keutzer; Aditya Parameswaran; Dan Klein; Kannan Ramchandran; Matei Zaharia; Joseph E. Gonzalez; Ion Stoica,2025,academic-preprint,preprint,https://arxiv.org/abs/2503.13657,papers/academic/cemri-2025-mas-failures.pdf,paper-notes/cemri-2025-mas-failures.md,2026-09-04,1b9e317a2a421e60ca2b2eda4a30844557a01e63286a790890c0ecef32d25460,fully-reviewed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
chao-2026-stale,STALE: Can LLM Agents Know When Their Memories Are No Longer Valid?,Hanxiang Chao; Yihan Bai; Rui Sheng; Tianle Li; Yushi Sun,2026,academic-preprint,preprint,https://arxiv.org/abs/2605.06527,papers/academic/chao-2026-stale.pdf,paper-notes/chao-2026-stale.md,2026-09-04,388f71f1eb952e7d7e7b19c2f25bfc744c47efa8ee00a548093b949432495109,fully-reviewed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
chen-2021-codex-passk,Evaluating Large Language Models Trained on Code,Mark Chen; Jerry Tworek; Heewoo Jun; Qiming Yuan; Henrique Ponde de Oliveira Pinto; Jared Kaplan; Harri Edwards; Yuri Burda; Nicholas Joseph; Greg Brockman; Alex Ray; Raul Puri; Gretchen Krueger; Michael Petrov; Heidy Khlaaf; Girish Sastry; Pamela Mishkin; Brooke Chan; Scott Gray; Nick Ryder; Mikhail Pavlov; Alethea Power; Lukasz Kaiser; Mohammad Bavarian; Clemens Winter; Philippe Tillet; Felipe Petroski Such; Dave Cummings; Matthias Plappert; Fotios Chantzis; Elizabeth Barnes; Ariel Herbert-Voss; William Hebgen Guss; Alex Nichol; Alex Paino; Nikolas Tezak; Jie Tang; Igor Babuschkin; Suchir Balaji; Shantanu Jain; William Saunders; Christopher Hesse; Andrew N. Carr; Jan Leike; Josh Achiam; Vedant Misra; Evan Morikawa; Alec Radford; Matthew Knight; Miles Brundage; Mira Murati; Katie Mayer; Peter Welinder; Bob McGrew; Dario Amodei; Sam McCandlish; Ilya Sutskever; Wojciech Zaremba,2021,academic-preprint,preprint,https://arxiv.org/abs/2107.03374,papers/academic/chen-2021-codex-passk.pdf,paper-notes/chen-2021-codex-passk.md,2026-09-04,ebae72ea0e8a5eb2ecbccdb985aec6cc1254a7c4d29e6d4de7866db1e66c4855,fully-reviewed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
chen-2023-autoagents,AutoAgents: A Framework for Automatic Agent Generation,Guangyao Chen; Siwei Dong; Yu Shu; Ge Zhang; Jaward Sesay; Börje F. Karlsson; Jie Fu; Yemin Shi,2023,academic-publication,IJCAI-2024,https://arxiv.org/abs/2309.17288,papers/academic/chen-2023-autoagents.pdf,paper-notes/chen-2023-autoagents.md,2026-09-04,eb28d6d380b88dbdaabaaea10c9e55dac04706f903ccac22830f462f043385f6,skimmed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
chen-2024-self-debug,Teaching Large Language Models to Self-Debug,Xinyun Chen; Maxwell Lin; Nathanael Schärli; Denny Zhou,2024,academic-publication,ICLR-2024,https://arxiv.org/abs/2304.05128,papers/academic/chen-2024-self-debug.pdf,paper-notes/chen-2024-self-debug.md,2026-09-04,020e06b1fb9e1d4b6c33016a9471e8bd31f8ecfd7a22335d85956c14efa39f75,skimmed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
chen-2026-self-correction-illusion,The Self-Correction Illusion: Role Relabeling Gates Explicit Error Flagging in Large Language Models,Kuan-Yen Chen; Fang-Yi Su; Shih-Yen Lin; Bao Li; Jung-Hsien Chiang,2026,academic-preprint,preprint,https://arxiv.org/abs/2606.05976,papers/academic/chen-2026-self-correction-illusion.pdf,paper-notes/chen-2026-self-correction-illusion.md,2026-09-04,a79d3fb0bf8ee1e27c559d2a17cdf426a71de6958271d38b359bcc746521ef9e,fully-reviewed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
cheng-2026-mem2evolve,Mem2Evolve: Towards Self-Evolving Agents via Co-Evolutionary Capability Expansion and Experience Distillation,Zihao Cheng; Zeming Liu; Yingyu Shan; Xinyi Wang; Xiangrong Zhu; Yunpu Ma; Hongru Wang; Yuhang Guo; Wei Lin; Yunhong Wang,2026,academic-publication,ACL-2026-Long,https://aclanthology.org/2026.acl-long.952/,papers/academic/cheng-2026-mem2evolve.pdf,paper-notes/cheng-2026-mem2evolve.md,2026-09-04,172228f7c0495ec445ab881d22b35711e64bb2737ec59fa4ff87b450c200076a,skimmed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
choi-2025-debate-or-vote,Debate or Vote: Which Yields Better Decisions in Multi-Agent Large Language Models?,Hyeong Kyu Choi; Xiaojin Zhu; Sharon Li,2025,academic-publication,NeurIPS-2025,https://papers.nips.cc/paper_files/paper/2025/hash/934252acd87f254d5d4672fbde283bd2-Abstract-Conference.html,papers/academic/choi-2025-debate-or-vote.pdf,paper-notes/choi-2025-debate-or-vote.md,2026-09-04,0a731f56e50d0fcee9a191e58f586b88d1c7084e75de5f1990b5a103986c0b56,fully-reviewed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
choi-2026-agents-fail-explore,Multi-Agent LLMs Fail to Explore Each Other,Hyeong Kyu Choi; Jiatong Li; Wendi Li; Xin Eric Wang; Sharon Li,2026,academic-preprint,preprint,https://arxiv.org/abs/2607.11250,papers/academic/choi-2026-agents-fail-explore.pdf,paper-notes/choi-2026-agents-fail-explore.md,2026-09-04,b6157ae2cdac52c1da59014ed12935212f59f40add913dd88db902ef575149c6,fully-reviewed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
cursor-2026-improving-harness,Continually Improving Our Agent Harness,Stefan Heule and Jediah Katz / Cursor,2026,engineering-blog,non-peer-reviewed practitioner source,https://cursor.com/blog/continually-improving-agent-harness,,source-notes/cursor-2026-improving-harness.md,2026-09-04,,reviewed,Canonical web page reviewed; no redistributed snapshot archived.; snapshot: web version accessed 2026-09-04
dang-2025-evolving-orchestration,Multi-Agent Collaboration via Evolving Orchestration,Yufan Dang; Chen Qian; Xueheng Luo; Jingru Fan; Zihao Xie; Ruijie Shi; Weize Chen; Cheng Yang; Xiaoyin Che; Ye Tian; Xuantang Xiong; Lei Han; Zhiyuan Liu; Maosong Sun,2025,academic-publication,NeurIPS-2025,https://arxiv.org/abs/2505.19591,papers/academic/dang-2025-evolving-orchestration.pdf,paper-notes/dang-2025-evolving-orchestration.md,2026-09-04,244c86ebd95a9fa7ca06539854186ea3dcdbf794ceb6e7827fff6e642e647bf6,skimmed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
debenedetti-2024-agentdojo,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,Edoardo Debenedetti; Jie Zhang; Mislav Balunović; Luca Beurer-Kellner; Marc Fischer; Florian Tramèr,2024,academic-publication,NeurIPS-2024,https://arxiv.org/abs/2406.13352,papers/academic/debenedetti-2024-agentdojo.pdf,paper-notes/debenedetti-2024-agentdojo.md,2026-09-04,349884fffbf43282591c5accffd57bb651632f38e412fe303114941bdd111b05,fully-reviewed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
dhage-2026-deterministic-harness,Harness Engineering for Predictable Agentic Systems: An Empirical Study of Deterministic Execution Constraints,Saransh Dhage,2026,academic-preprint,preprint,https://arxiv.org/abs/2608.26197,papers/academic/dhage-2026-deterministic-harness.pdf,paper-notes/dhage-2026-deterministic-harness.md,2026-09-04,3bafe1cbdb0469a02a736405adf2664825a807edec6fbf13056596d9cd70a595,fully-reviewed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
du-2023-multiagent-debate,Improving Factuality and Reasoning in Language Models through Multiagent Debate,Yilun Du; Shuang Li; Antonio Torralba; Joshua B. Tenenbaum; Igor Mordatch,2023,academic-preprint,preprint,https://arxiv.org/abs/2305.14325,papers/academic/du-2023-multiagent-debate.pdf,paper-notes/du-2023-multiagent-debate.md,2026-09-04,b302ff15202dc3cda03f40ea1ac92b29e1519978540b345af92991f6d3e619b4,fully-reviewed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
dwork-2015-adaptive-holdout,Generalization in Adaptive Data Analysis and Holdout Reuse,Cynthia Dwork; Vitaly Feldman; Moritz Hardt; Toniann Pitassi; Omer Reingold; Aaron Roth,2015,academic-publication,NeurIPS-2015,https://arxiv.org/abs/1506.02629,papers/academic/dwork-2015-adaptive-holdout.pdf,paper-notes/dwork-2015-adaptive-holdout.md,2026-09-04,dcfbb9aa401c62949123be2d74787c4f9cca48597f18860760ef1580ddb4bc71,skimmed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
everitt-2016-self-modification,Self-Modification of Policy and Utility Function in Rational Agents,Tom Everitt; Daniel Filan; Mayank Daswani; Marcus Hutter,2016,academic-publication,AGI-2016,https://arxiv.org/abs/1605.03142,papers/academic/everitt-2016-self-modification.pdf,paper-notes/everitt-2016-self-modification.md,2026-09-04,1b7a3c091bd2c02b30d9bc9201bf09b5c6f9af839d30240458da917a3f750461,skimmed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
fernando-2023-promptbreeder,Promptbreeder: Self-Referential Self-Improvement Via Prompt Evolution,Chrisantha Fernando; Dylan Banarse; Henryk Michalewski; Simon Osindero; Tim Rocktäschel,2023,academic-publication,ICML-2024,https://arxiv.org/abs/2309.16797,papers/academic/fernando-2023-promptbreeder.pdf,paper-notes/fernando-2023-promptbreeder.md,2026-09-04,0e5b44b77d345581509bb58b009fa7fef9928bf8c090b2a056e8916f25d974a0,skimmed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
gao-2025-self-evolving-agent-survey,A Survey of Self-Evolving Agents: On Path to Artificial Super Intelligence,Huan-ang Gao; Jiayi Geng; Wenyue Hua; Mengkang Hu; Xinzhe Juan; Hongzhang Liu; Shilong Liu; Jiahao Qiu; Xuan Qi; Yiran Wu; Hongru Wang; Han Xiao; Yuhang Zhou; Shaokun Zhang; Jiayi Zhang; Jinyu Xiang; Yixiong Fang; Qiwen Zhao; Dongrui Liu; Qihan Ren; Cheng Qian; Zhenhailong Wang; Minda Hu; Huazheng Wang; Qingyun Wu; Heng Ji; Mengdi Wang,2025,academic-preprint,preprint,https://arxiv.org/abs/2507.21046,papers/academic/gao-2025-self-evolving-agent-survey.pdf,paper-notes/gao-2025-self-evolving-agent-survey.md,2026-09-04,0b39df03feea2f4d8ac41e35a9247889978a53cb1e7b7d3eafaae76ad97b5602,skimmed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
gou-2024-critic,CRITIC: Large Language Models Can Self-Correct with Tool-Interactive Critiquing,Zhibin Gou; Zhihong Shao; Yeyun Gong; Yelong Shen; Yujiu Yang; Nan Duan; Weizhu Chen,2024,academic-publication,ICLR-2024,https://arxiv.org/abs/2305.11738,papers/academic/gou-2024-critic.pdf,paper-notes/gou-2024-critic.md,2026-09-04,ed5cbff53c8ff550b72d6abba0d7e4d83c5d214d61d0fafde10cbe4bbfc31a5b,fully-reviewed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
greshake-2023-indirect-injection,Not what you've signed up for: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection,Kai Greshake; Sahar Abdelnabi; Shailesh Mishra; Christoph Endres; Thorsten Holz; Mario Fritz,2023,academic-publication,AISec-2023,https://arxiv.org/abs/2302.12173,papers/academic/greshake-2023-indirect-injection.pdf,paper-notes/greshake-2023-indirect-injection.md,2026-09-04,428e23e8c7e4f89310e113e38d082b3f65548a8b887188ebc536099061800e81,fully-reviewed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
guo-2026-agent-harness-survey,From Question Answering to Task Completion: A Survey on Agent System and Harness Design,Jianyuan Guo; Zhiwei Hao; Chengcheng Wang; Cheng Fan; Tingzhang Luo; Hongguang Li; Ying Gao; Hefei Mei; Jiankun Peng; Rongjian Xu; Minjing Dong; Han Wu; Mengyu Zheng; Kai Han; Shiqi Wang; Chang Xu; Yunhe Wang,2026,academic-preprint,preprint,https://arxiv.org/abs/2606.20683,papers/academic/guo-2026-agent-harness-survey.pdf,paper-notes/guo-2026-agent-harness-survey.md,2026-09-04,5d21e1f25dd55857e7d17452be1bc74d14026e0bc7843d84f73f55c17856fdda,skimmed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
hao-2023-rap,Reasoning with Language Model is Planning with World Model,Shibo Hao; Yi Gu; Haodi Ma; Joshua Jiahua Hong; Zhen Wang; Daisy Zhe Wang; Zhiting Hu,2023,academic-publication,EMNLP-2023,https://arxiv.org/abs/2305.14992,papers/academic/hao-2023-rap.pdf,paper-notes/hao-2023-rap.md,2026-09-04,3babff1eb4eb47d19dd9eb5a5bb11d433c34370e308c0be9ad75ea7d8ab76dfe,fully-reviewed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
hardt-2014-adaptive-hardness,Preventing False Discovery in Interactive Data Analysis Is Hard,Moritz Hardt; Jonathan Ullman,2014,academic-publication,FOCS-2014,https://arxiv.org/abs/1408.1655,papers/academic/hardt-2014-adaptive-hardness.pdf,paper-notes/hardt-2014-adaptive-hardness.md,2026-09-04,308e6e4ff3b5c7668da1ec62b614b5e9034f674050668a6e9c79554c367990d8,skimmed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
hariri-2026-test-time-scaling-survey,"Test-Time Scaling in Reasoning LLMs: Inference Regimes, Evaluation, and Reproducibility",Mohsen Hariri; Weicong Chen; Nahal Shahini; Vikash Singh; Kai Ye; Amirhossein Samandar; Debargha Ganguly; Sreehari Sankar; Yanyan Zhang; Shouren Wang; Jerry Peng; Biyao Zhang; Michael Hinczewski; Vipin Chaudhary,2026,academic-preprint,preprint,https://arxiv.org/abs/2608.04001,papers/academic/hariri-2026-test-time-scaling-survey.pdf,paper-notes/hariri-2026-test-time-scaling-survey.md,2026-09-04,d5ac888ca9d2f6b15ad3ce1b626bbcd403745805d15d38f750e7e0680d747e32,skimmed,Openly accessible research copy archived from the recorded canonical PDF URL; copyright remains with the authors or publisher.
harness-ag2,AG2 v1,AG2AI,2026,official-implementation-evidence,versioned official implementation documentation,https://github.com/ag2ai/ag2,,source-notes/harness-ag2.md,2026-09-04,,reviewed,Apache-2.0; snapshot: v1.0.3; commit d4df5694e53d0533d583a7865023fa2e4e53b674
harness-aider,Aider,Aider-AI,2026,official-implementation-evidence,versioned official implementation documentation,https://github.com/Aider-AI/aider,,source-notes/harness-aider.md,2026-09-04,,reviewed,Apache-2.0; snapshot: v0.86.0; main commit 5dc9490bb35f9729ef2c95d00a19ccd30c26339c
harness-autogen,AutoGen,Microsoft,2026,official-implementation-evidence,versioned official implementation documentation,https://github.com/microsoft/autogen,,source-notes/harness-autogen.md,2026-09-04,,reviewed,MIT code; CC-BY-4.0 documentation; snapshot: python-v0.7.5; commit 027ecf0a379bcc1d09956d46d12d44a3ad9cee14
harness-claude-code,Claude Code,Anthropic,2026,official-implementation-evidence,versioned official implementation documentation,https://github.com/anthropics/claude-code,,source-notes/harness-claude-code.md,2026-09-04,,reviewed,Proprietary; public repository is all rights reserved; snapshot: v2.1.260; commit b3f0e501b79fe5cfc8c10d18cf3b0b6715c5c2fb
harness-codex-cli,Codex CLI,OpenAI,2026,official-implementation-evidence,versioned official implementation documentation,https://github.com/openai/codex,,source-notes/harness-codex-cli.md,2026-09-04,,reviewed,Apache-2.0 for repository code; hosted models and services are proprietary; snapshot: rust-v0.153.2; commit de7874067fe8cb8f4846dd4d8b848965ce79070f
harness-crewai,CrewAI,CrewAI,2026,official-implementation-evidence,versioned official implementation documentation,https://github.com/crewAIInc/crewAI,,source-notes/harness-crewai.md,2026-09-04,,reviewed,MIT core; snapshot: 1.15.20; commit c00e3228fc0036e6d262592b5943979659fcfdac
harness-goose,goose,Agentic AI Foundation,2026,official-implementation-evidence,versioned official implementation documentation,https://github.com/aaif-goose/goose,,source-notes/harness-goose.md,2026-09-04,,reviewed,Apache-2.0; snapshot: v1.49.0; commit dce69009546ce5f20522d010fa3f1d57abbe2c3f
harness-haystack,Haystack,deepset,2026,official-implementation-evidence,versioned official implementation documentation,https://github.com/deepset-ai/haystack,,source-notes/harness-haystack.md,2026-09-04,,reviewed,Apache-2.0; snapshot: v3.1.1; commit 82da3adc2fac4675b80ff5573b790ec07113697b
harness-langgraph,LangGraph,LangChain,2026,official-implementation-evidence,versioned official implementation documentation,https://github.com/langchain-ai/langgraph,,source-notes/harness-langgraph.md,2026-09-04,,reviewed,MIT core; snapshot: monorepo sdk==0.4.4; commit 81bf17b23123e4ef8b9d5f49fa09a0122fc2edd1
harness-letta-code,Letta Code,Letta,2026,official-implementation-evidence,versioned official implementation documentation,https://github.com/letta-ai/letta-code,,source-notes/harness-letta-code.md,2026-09-04,,reviewed,Apache-2.0; snapshot: v0.31.12; commit 047fa6a99d9e83529b3c3e91cd8e3a7835a0f9c2
harness-llamaagents,LlamaAgents / Workflows,LlamaIndex,2026,official-implementation-evidence,versioned official implementation documentation,https://github.com/run-llama/llama-agents,,source-notes/harness-llamaagents.md,2026-09-04,,reviewed,MIT; snapshot: llama-agents-server@v0.7.1; commit 9bfd8f8ea5d66652d5b6ce933df9cba118f6f863
harness-mini-swe-agent,mini-SWE-agent,SWE-agent,2026,official-implementation-evidence,versioned official implementation documentation,https://github.com/SWE-agent/mini-swe-agent,,source-notes/harness-mini-swe-agent.md,2026-09-04,,reviewed,MIT; snapshot: v2.4.6; main commit 04d809ceab9df28f9adaed044884180159172930
